exp1_name,exp2_name,k,final_MkNN
mlp_5_256_muon2,mlp_5_256_adam2,73,0.25699999928474426
mlp_5_256_muon2,mlp_5_256_adam2,74,0.2585945725440979
mlp_5_256_muon2,mlp_5_256_adam2,75,0.2603333294391632
mlp_5_256_muon2,mlp_5_256_adam2,76,0.26213157176971436
mlp_5_256_muon2,mlp_5_256_adam2,77,0.26383116841316223
mlp_5_256_muon2,mlp_5_256_adam2,78,0.26576924324035645
mlp_5_256_muon2,mlp_5_256_adam2,79,0.26740506291389465
mlp_5_256_muon2,mlp_5_256_adam2,80,0.2691124975681305
mlp_5_256_muon2,mlp_5_256_adam2,81,0.27081480622291565
mlp_5_256_muon2,mlp_5_256_adam2,82,0.2725975215435028
mlp_5_256_muon2,mlp_5_256_adam2,83,0.2743975818157196
mlp_5_256_muon2,mlp_5_256_adam2,84,0.2760833501815796
mlp_5_256_muon2,mlp_5_256_adam2,85,0.27781176567077637
mlp_5_256_muon2,mlp_5_256_adam2,86,0.27947673201560974
mlp_5_256_muon2,mlp_5_256_adam2,87,0.28117242455482483
mlp_5_256_muon2,mlp_5_256_adam2,88,0.28279542922973633
mlp_5_256_muon2,mlp_5_256_adam2,89,0.2845730185508728
mlp_5_256_muon2,mlp_5_256_adam2,90,0.2862222194671631
mlp_5_256_muon2,mlp_5_256_adam2,91,0.2878681719303131
mlp_5_256_muon2,mlp_5_256_adam2,92,0.28966304659843445
mlp_5_256_muon2,mlp_5_256_adam2,93,0.29135483503341675
mlp_5_256_muon2,mlp_5_256_adam2,94,0.29296809434890747
mlp_5_256_muon2,mlp_5_256_adam2,95,0.2943473756313324
mlp_5_256_muon2,mlp_5_256_adam2,96,0.2955520749092102
mlp_5_256_muon2,mlp_5_256_adam2,97,0.2973299026489258
mlp_5_256_muon2,mlp_5_256_adam2,98,0.29929596185684204
mlp_5_256_muon2,mlp_5_256_adam2,99,0.30074748396873474
mlp_5_256_muon,mlp_5_256_muon2,1,0.012000000104308128
mlp_5_256_muon,mlp_5_256_muon2,2,0.019500000402331352
mlp_5_256_muon,mlp_5_256_muon2,3,0.02199999988079071
mlp_5_256_muon,mlp_5_256_muon2,4,0.02850000001490116
mlp_5_256_muon,mlp_5_256_muon2,5,0.03179999813437462
mlp_5_256_muon,mlp_5_256_muon2,6,0.037833333015441895
mlp_5_256_muon,mlp_5_256_muon2,7,0.043857142329216
mlp_5_256_muon,mlp_5_256_muon2,8,0.048500001430511475
mlp_5_256_muon,mlp_5_256_muon2,9,0.05322222039103508
mlp_5_256_muon,mlp_5_256_muon2,10,0.05700000375509262
mlp_5_256_muon,mlp_5_256_muon2,11,0.06154545769095421
mlp_5_256_muon,mlp_5_256_muon2,12,0.06591667234897614
mlp_5_256_muon,mlp_5_256_muon2,13,0.0701538547873497
mlp_5_256_muon,mlp_5_256_muon2,14,0.07535713911056519
mlp_5_256_muon,mlp_5_256_muon2,15,0.0793333351612091
mlp_5_256_muon,mlp_5_256_muon2,16,0.08237499743700027
mlp_5_256_muon,mlp_5_256_muon2,17,0.08641177415847778
mlp_5_256_muon,mlp_5_256_muon2,18,0.09000001102685928
mlp_5_256_muon,mlp_5_256_muon2,19,0.09289474040269852
mlp_5_256_muon,mlp_5_256_muon2,20,0.09594999998807907
mlp_5_256_muon,mlp_5_256_muon2,21,0.09919047355651855
mlp_5_256_muon,mlp_5_256_muon2,22,0.10313636809587479
mlp_5_256_muon,mlp_5_256_muon2,23,0.10660868138074875
mlp_5_256_muon,mlp_5_256_muon2,24,0.10970833897590637
mlp_5_256_muon,mlp_5_256_muon2,25,0.11208000779151917
mlp_5_256_muon,mlp_5_256_muon2,26,0.11523077636957169
mlp_5_256_muon,mlp_5_256_muon2,27,0.11844443529844284
mlp_5_256_muon,mlp_5_256_muon2,28,0.12099999934434891
mlp_5_256_muon,mlp_5_256_muon2,29,0.12455172836780548
mlp_5_256_muon,mlp_5_256_muon2,30,0.12733334302902222
mlp_5_256_muon,mlp_5_256_muon2,31,0.130387082695961
mlp_5_256_muon,mlp_5_256_muon2,32,0.1340312510728836
mlp_5_256_muon,mlp_5_256_muon2,33,0.13621212542057037
mlp_5_256_muon,mlp_5_256_muon2,34,0.13902941346168518
mlp_5_256_muon,mlp_5_256_muon2,35,0.14188572764396667
mlp_5_256_muon,mlp_5_256_muon2,36,0.14461112022399902
mlp_5_256_muon,mlp_5_256_muon2,37,0.1476486474275589
mlp_5_256_muon,mlp_5_256_muon2,38,0.15026316046714783
mlp_5_256_muon,mlp_5_256_muon2,39,0.1531282216310501
mlp_5_256_muon,mlp_5_256_muon2,40,0.15582500398159027
mlp_5_256_muon,mlp_5_256_muon2,41,0.1585853546857834
mlp_5_256_muon,mlp_5_256_muon2,42,0.16114285588264465
mlp_5_256_muon,mlp_5_256_muon2,43,0.16302326321601868
mlp_5_256_muon,mlp_5_256_muon2,44,0.1656363606452942
